1001000100 000000000100 00010 00001	96	ADDI	R1, R2, #4
10001011000 00010 000000 00001 00011	100	ADD	R3, R1, R2
11001011000 00010 000000 00001 00011	104	SUB	R3, R1, R2
10001010000 00010 000000 00001 00011	108	AND	R3, R1, R2
10101010000 00010 000000 00001 00011	112	ORR	R3, R1, R2
1001000100 000000000100 00010 00100	116	ADDI	R4, R2, #4
11010011011 00000 000001 00100 00010	120	LSL	R2, R4, #1
10001011000 00010 000000 00001 00001	124	ADD	R1, R1, R2
1001000100 000011001000 00000 00100	128	ADDI	R4, R0, #200
11111000000 000000001 00 00100 00010	132	STUR	R2, [R4, #1]
11111000010 000000001 00 00100 00101	136	LDUR	R5, [R4, #1]
10001011000 00010 000000 00001 00110	140	ADD	R6, R1, R2
1001000100 000000001000 00010 00111	144	ADDI	R7, R2, #8
11111000000 000000101 00 00100 00110	148	STUR	R6, [R4, #5]
11001011000 00010 000000 00100 01000	152	SUB	R8, R4, R2
10001011000 00010 000000 00110 01001	156	ADD	R9, R6, R2
11111000010 000000101 00 00100 01010	160	LDUR	R10, [R4, #5]
11111110 110 11110 11111 11111 100111	164	BREAK
